day,project,locked_usd_value
2021-07-19T00:00:00+00:00,MakerDAO,4679558898.826525
2021-07-01T00:00:00+00:00,MakerDAO,5358032903.244946
2021-06-12T00:00:00+00:00,Compound,10739417274.141006
2021-03-13T00:00:00+00:00,Compound,11605902607.995813
2021-05-31T00:00:00+00:00,MakerDAO,6879516433.895227
2021-03-04T00:00:00+00:00,MakerDAO,6124014078.889687
2021-04-18T00:00:00+00:00,Compound,13220788518.407099
2021-07-07T00:00:00+00:00,Compound,10374828895.25423
2021-03-22T00:00:00+00:00,Compound,11377328286.114405
2021-07-10T00:00:00+00:00,Compound,11142468614.889376
2021-06-24T00:00:00+00:00,Aave,12362946781.611805
2021-04-25T00:00:00+00:00,MakerDAO,7757602183.357618
2021-07-13T00:00:00+00:00,Aave,12156964531.806744
2021-07-23T00:00:00+00:00,Compound,13134277666.390911
2021-04-26T00:00:00+00:00,Compound,13681410847.585377
2021-06-06T00:00:00+00:00,MakerDAO,7379807414.307314
2021-03-19T00:00:00+00:00,Compound,11322481977.263353
2021-05-26T00:00:00+00:00,Aave,11070951324.947254
2021-07-16T00:00:00+00:00,Compound,12258668513.974375
2021-08-16T00:00:00+00:00,Aave,19244401642.90903
2021-03-12T00:00:00+00:00,Compound,11236140422.471203
2021-06-26T00:00:00+00:00,Compound,9361068268.693167
2021-04-13T00:00:00+00:00,Aave,6282705847.891018
2021-06-28T00:00:00+00:00,Aave,12389284780.046267
2021-06-30T00:00:00+00:00,Compound,8375794298.094379
2021-08-14T00:00:00+00:00,MakerDAO,7395749948.271975
2021-06-13T00:00:00+00:00,Compound,10884190100.615831
2021-04-27T00:00:00+00:00,Compound,13947838716.089926
2021-04-19T00:00:00+00:00,MakerDAO,8110662656.802598
2021-03-24T00:00:00+00:00,MakerDAO,6055891623.477667
2021-07-07T00:00:00+00:00,Aave,12858831008.943642
2021-08-05T00:00:00+00:00,MakerDAO,6156768211.847457
2021-06-20T00:00:00+00:00,Aave,12965045473.555689
2021-06-03T00:00:00+00:00,MakerDAO,7471693432.357618
2021-07-23T00:00:00+00:00,Aave,14864863155.599905
2021-07-31T00:00:00+00:00,MakerDAO,5961627112.812096
2021-07-17T00:00:00+00:00,MakerDAO,4785397708.073322
2021-03-22T00:00:00+00:00,Aave,5439022342.66132
2021-04-17T00:00:00+00:00,Aave,7000295905.825482
2021-03-22T00:00:00+00:00,MakerDAO,6723954187.386483
2021-05-16T00:00:00+00:00,Compound,15437684603.46556
2021-07-17T00:00:00+00:00,Compound,12355776443.37219
2021-06-01T00:00:00+00:00,Aave,13216520285.140926
2021-05-28T00:00:00+00:00,MakerDAO,7313654481.862728
2021-05-16T00:00:00+00:00,MakerDAO,11819456695.246435
2021-05-25T00:00:00+00:00,Compound,11173733448.47946
2021-07-24T00:00:00+00:00,MakerDAO,5215017602.024498
2021-04-08T00:00:00+00:00,MakerDAO,7300348452.504371
2021-06-13T00:00:00+00:00,Aave,12978094310.014212
2021-03-31T00:00:00+00:00,Compound,11212384475.591988
2021-06-07T00:00:00+00:00,Compound,12056409242.949907
2021-05-26T00:00:00+00:00,Compound,11617516755.237246
2021-03-23T00:00:00+00:00,Compound,11162425802.218727
2021-07-20T00:00:00+00:00,Compound,12467026143.50304
2021-02-20T00:00:00+00:00,Aave,5594136731.74593
2021-05-03T00:00:00+00:00,Compound,14969414360.460575
2021-03-14T00:00:00+00:00,Compound,11720734954.461624
2021-03-04T00:00:00+00:00,Compound,9602339362.73686
2021-07-04T00:00:00+00:00,Compound,9311110955.918633
2021-04-18T00:00:00+00:00,MakerDAO,7964154051.095671
2021-03-09T00:00:00+00:00,MakerDAO,6435676015.973884
2021-03-16T00:00:00+00:00,MakerDAO,6763360030.557837
2021-04-13T00:00:00+00:00,Compound,15714022459.274477
2021-06-14T00:00:00+00:00,Aave,13323326133.623358
2021-05-06T00:00:00+00:00,Compound,15810450123.116386
2021-03-11T00:00:00+00:00,MakerDAO,6441639591.5558815
2021-03-11T00:00:00+00:00,Aave,5317751033.167599
2021-03-27T00:00:00+00:00,Compound,10623075176.027323
2021-03-23T00:00:00+00:00,MakerDAO,6107559786.002214
2021-04-14T00:00:00+00:00,MakerDAO,8498690620.213466
2021-06-05T00:00:00+00:00,Aave,13434659254.77855
2021-04-06T00:00:00+00:00,Compound,14313691337.367496
2021-08-02T00:00:00+00:00,Compound,14866368943.386518
2021-08-01T00:00:00+00:00,MakerDAO,6228033295.669913
2021-02-19T00:00:00+00:00,Compound,9513195759.559189
2021-06-26T00:00:00+00:00,MakerDAO,4506101370.624968
2021-04-25T00:00:00+00:00,Aave,5825644136.431526
2021-05-08T00:00:00+00:00,Aave,13850574293.656195
2021-05-17T00:00:00+00:00,Compound,15156131538.514587
2021-03-02T00:00:00+00:00,Aave,4791469470.073146
2021-08-10T00:00:00+00:00,MakerDAO,7088508770.853704
2021-06-27T00:00:00+00:00,Compound,9419992770.661964
2021-05-15T00:00:00+00:00,MakerDAO,12231646209.975225
2021-03-07T00:00:00+00:00,Compound,9650258418.0952
2021-02-19T00:00:00+00:00,Aave,5290093928.404278
2021-06-09T00:00:00+00:00,MakerDAO,6712964327.207373
2021-04-11T00:00:00+00:00,Compound,14504895920.806108
2021-07-25T00:00:00+00:00,Aave,15053087911.790283
2021-05-19T00:00:00+00:00,Aave,12703938583.040129
2021-03-15T00:00:00+00:00,Aave,5280670661.8917885
2021-04-20T00:00:00+00:00,MakerDAO,7761062123.228418
2021-07-20T00:00:00+00:00,MakerDAO,4668114996.571055
2021-07-18T00:00:00+00:00,Compound,12503536900.902447
2021-06-11T00:00:00+00:00,MakerDAO,6490266171.175107
2021-04-21T00:00:00+00:00,Compound,13711374723.453897
2021-04-21T00:00:00+00:00,MakerDAO,8163146165.7604265
2021-07-11T00:00:00+00:00,Aave,12598900615.528467
2021-04-17T00:00:00+00:00,MakerDAO,8265648572.190378
2021-04-16T00:00:00+00:00,MakerDAO,8728240866.014091
2021-05-18T00:00:00+00:00,Compound,15419692620.752428
2021-05-31T00:00:00+00:00,Compound,10967708985.505852
2021-05-13T00:00:00+00:00,Aave,14124056001.656376
2021-05-09T00:00:00+00:00,Aave,14090338721.724098
2021-04-23T00:00:00+00:00,Compound,13458884404.586618
2021-05-19T00:00:00+00:00,Compound,13550840890.20641
2021-02-26T00:00:00+00:00,Aave,4406494050.267531
2021-07-06T00:00:00+00:00,MakerDAO,5782426073.20982
2021-04-07T00:00:00+00:00,Compound,13971755765.349232
2021-04-05T00:00:00+00:00,Compound,13888222907.94911
2021-05-17T00:00:00+00:00,Aave,14077577982.429121
2021-06-03T00:00:00+00:00,Compound,11759150675.749796
2021-06-22T00:00:00+00:00,Compound,8912202979.622812
2021-03-26T00:00:00+00:00,Aave,5409143165.1527
2021-08-06T00:00:00+00:00,MakerDAO,6687263132.635974
2021-05-02T00:00:00+00:00,Aave,12161205081.074547
2021-06-25T00:00:00+00:00,Aave,12206110986.593563
2021-07-02T00:00:00+00:00,Aave,12279906093.63053
2021-03-10T00:00:00+00:00,MakerDAO,6774292468.906674
2021-06-07T00:00:00+00:00,Aave,13551905482.999254
2021-05-13T00:00:00+00:00,Compound,16928804810.873491
2021-07-31T00:00:00+00:00,Aave,16565422834.105923
